geoid,total,hispanic,white,black,indian,asian,pacific
040050016003,1010,25,985,0,0,0,0
040050017001,850,280,500,4,55,4,0
040050017002,615,115,455,25,0,0,0
040050017003,480,160,220,60,10,10,0
040050017004,600,80,490,0,30,0,0
040050020001,865,45,685,0,110,0,0
040050020002,770,100,580,15,60,15,0
040050021001,755,45,510,35,160,0,0
040050021002,630,110,340,0,175,0,0
040050021003,680,85,415,0,180,0,0
040050021004,585,0,430,0,155,0,0
040050021005,820,0,245,10,535,0,0
040050021006,1015,0,50,0,965,0,0
040050021007,540,85,260,0,200,0,0
040050022001,985,30,920,4,0,0,0
040050022002,1410,200,1195,0,0,0,0
040050022003,905,165,740,0,0,0,0
040050022004,860,30,600,0,125,105,0
040050022005,1200,15,1180,0,0,0,0
040050023001,365,40,270,4,40,0,0
040050023002,1065,150,755,0,40,35,0
040050023003,710,130,490,0,45,0,0
040050023004,1245,4,1155,0,4,15,0
040050023005,1795,185,935,55,560,10,0
040059422011,1275,25,4,4,1225,0,10
040059422012,555,0,4,0,545,0,4
040059422013,820,0,0,0,820,0,0
040059422021,385,0,4,0,385,0,0
040059422022,1380,10,4,0,1365,0,0
040059422023,565,10,0,0,540,10,0
040059449001,1770,0,105,0,1645,0,20
040059449002,1045,20,20,0,1005,0,0
040059449003,750,15,30,0,705,0,0
040059450001,1030,20,4,0,1005,0,0
040059450002,1125,10,10,0,1105,0,0
040059450003,815,10,0,0,810,0,0
040059451001,1005,4,10,0,990,4,0
040059451002,760,0,10,0,755,0,0
040059451003,570,10,4,4,555,0,0
040059451004,595,4,4,0,595,0,0
040059452001,615,0,60,4,550,0,0
040059452002,985,30,10,0,945,0,0
040059452003,1435,0,10,4,1375,0,0
040070001001,745,65,660,0,25,0,0
040070001002,820,30,750,0,40,0,0
040070001003,505,10,495,0,0,0,0
040070001004,395,0,390,0,0,0,0
040070002001,410,60,340,0,0,10,0
040070002002,455,0,440,0,0,0,0
040070002003,1140,95,1015,0,0,10,0
040070003011,3095,115,2745,10,35,100,0
040070003012,1750,170,1255,40,265,0,0
040070003021,500,10,475,0,0,0,0
040070003022,1440,25,1380,10,4,0,0
040070003023,295,0,295,0,0,0,0
040070004001,530,0,485,0,20,20,0
040070004002,750,65,650,0,0,15,0
040070004003,2490,95,2325,50,0,0,0
040070005001,910,70,840,0,0,0,0
040070005002,615,4,535,4,40,0,0
040070005003,2945,185,2645,0,75,20,0
040070006001,695,0,610,0,55,0,0
040070006002,455,30,420,0,4,0,0
040070007001,1805,20,1765,20,0,0,0
040070008001,380,95,265,0,0,0,0
040070008002,515,295,210,10,4,0,0
040070009001,1055,570,440,10,15,4,0
040070009002,850,440,360,0,50,0,0
040070010001,575,205,355,0,15,0,0
040070010002,1020,175,730,45,0,15,0
040070010003,575,255,320,0,0,0,0
040070010004,595,105,475,0,0,0,0
040070010005,750,245,470,0,35,0,0
040070011001,680,235,340,0,0,0,0
040070011002,640,210,435,0,0,0,0
040070011003,655,370,235,0,30,0,0
040070011004,495,240,245,0,0,0,0
040070011005,635,295,260,0,75,0,0
040070012001,975,355,550,20,10,15,0
040070012002,1310,300,925,15,65,0,0
040070012003,1595,340,1190,10,30,0,0
040070013001,440,245,195,0,0,0,0
040070013002,495,400,90,0,0,0,0
040079402001,1210,25,0,0,1180,0,0
040079404001,690,45,20,0,625,0,0
040079404002,1670,90,20,0,1565,0,0
040079404003,750,70,30,0,650,0,0
040079404004,630,10,30,0,570,0,0
040099405001,1225,55,0,0,1170,0,0
040099405002,660,55,0,0,605,0,0
040099405003,1090,90,10,0,975,0,0
040099611001,1035,150,865,0,4,0,0
040099611002,800,185,585,0,20,4,4
040099611003,1035,190,785,0,25,0,0
040099612011,805,145,655,0,0,0,0
040099612012,1140,265,680,50,85,4,4
040099612013,515,50,465,0,0,0,0
040099612021,1265,335,915,4,0,10,0
040099612022,660,230,425,0,10,0,0
040099612023,800,250,535,4,0,0,0
040099613001,565,225,340,0,0,0,0
040099613002,375,190,150,20,10,0,0
040099613003,645,305,310,4,25,0,0
040099613004,585,100,440,45,0,0,0
040099614001,1580,715,715,95,10,0,0
040099614002,750,135,610,0,0,0,0
040099614003,755,480,170,105,0,0,0
040099614004,610,360,250,0,0,0,0
040099615001,2110,635,1420,10,4,0,0
040099615002,1385,360,1025,0,0,0,0
040099616001,770,110,595,0,55,4,0
040099616002,645,235,310,70,10,10,0
040099616003,1045,535,230,125,110,15,25
040099617001,1665,725,785,80,65,10,4
040099617002,830,450,375,0,4,0,0
040099617003,975,510,430,35,0,0,0
040099617004,700,240,410,0,10,45,0
040119601001,1135,635,495,0,4,0,0
040119601002,995,715,245,35,0,0,0
040119602001,1150,475,590,20,65,0,0
040119602002,670,255,340,0,75,0,0
040119602003,820,370,330,65,60,0,0
040119603001,905,350,530,0,15,4,0
040119603002,635,140,490,0,0,0,0
040119603003,450,125,315,0,4,0,0
040120201001,195,50,130,0,15,0,0
040120201002,655,165,460,0,15,4,0
040120201003,1075,15,1035,0,0,0,0
040120202011,515,75,395,0,10,0,10
040120202012,810,160,620,25,0,0,0
040120202013,235,10,215,0,4,0,0
040120202021,240,35,205,0,0,0,0
040120202022,540,40,455,0,40,0,0
040120205011,885,10,875,0,0,0,0
040120205012,775,0,750,0,0,0,0
040120205021,1370,0,1370,0,0,0,0
040120205022,1220,160,950,0,0,115,0
040120205023,1100,110,995,0,0,0,0
040120206021,590,215,345,0,0,0,0
040120206022,455,170,285,0,0,0,0
040129402001,1525,700,490,130,100,0,0
040129402002,755,320,195,25,180,0,0
040129403001,780,175,565,0,30,0,0
040129403002,220,90,40,0,80,0,0
040129403003,595,235,75,0,255,0,0
040129403004,1520,430,135,0,930,0,0
040129800001,0,0,0,0,0,0,0
040130101011,1425,25,1385,0,0,0,0
040130101012,1820,120,1685,0,0,15,0
040130101013,1265,0,1265,0,0,0,0
040130101021,1075,20,1055,4,0,0,0
040130101022,1270,0,1200,0,0,70,0
040130101023,2260,0,2240,0,0,20,0
040130304011,1895,0,1850,35,4,0,0
040130304012,1355,35,1325,0,0,0,0
040130304013,1470,45,1290,0,0,10,0
040130304021,610,0,600,0,0,0,0
040130304022,1610,25,1555,0,0,0,0
040130304023,1670,25,1580,0,25,0,0
040130405021,290,30,260,0,0,0,0
040130405022,595,145,450,0,0,0,0
040130405023,2405,70,1980,0,345,0,15
